species,sex
Sorex ixtlanensis,XY
Sorex jacksoni,XY
Sorex kozlovi,XY
Sorex leucogaster,XY
Sorex longirostris,XY
Sorex lyelli,XY
Sorex macrodon,XY
Sorex maritimensis,XAfusion
Sorex mediopua,XY
Sorex merriami,XY
Sorex milleri,XY
Sorex minutissimus,XY
Sorex minutus,XY
Sorex mirabilis,XY
Sorex monticolus,XY
Sorex nanus,XY
Sorex neomexicanus,XY
Sorex oreopolus,XY
Sorex orizabae,XY
Sorex ornatus,XY
Sorex pacificus,XY
Sorex palustris,XY
Sorex planiceps,XY
Sorex portenkoi,XY
Sorex preblei,XY
Sorex pribilofensis,XY
Sorex raddei,XY
Sorex roboratus,XY
Sorex rohweri,XY
Sorex samniticus,XY
Sorex satunini,XAfusion
Sorex saussurei,XY
Sorex sclateri,XY
Sorex shinto,XY
Sorex sinalis,XY
Sorex sonomae,XY
Sorex stizodon,XY
Sorex tenellus,XY
Sorex thibetanus,XY
Sorex trowbridgii,XY
Sorex tundrensis,XAfusion
Sorex ugyunak,XY
Sorex unguiculatus,XY
Sorex vagrans,XY
Sorex ventralis,XY
Sorex veraecrucis,XY
Sorex veraepacis,XY
Sorex volnuchini,XY
Sorex yukonicus,XY
Soriculus nigrescens,XY
Suncus aequatorius,XY
Suncus ater,XY
Suncus dayi,XY
Suncus etruscus,XY
Suncus fellowesgordoni,XY
Suncus hosei,XY
Suncus hututsi,XY
Suncus infinitesimus,XY
Suncus lixus,XY
Suncus madagascariensis,XY
Suncus malayanus,XY
Suncus megalura,XY
Suncus mertensi,XY
Suncus montanus,XY
Suncus murinus,XY
Suncus remyi,XY
Suncus stoliczkanus,XY
Suncus varilla,XY
Suncus zeylanicus,XY
Surdisorex norae,XY
Surdisorex polulus,XY
Surdisorex schlitteri,XY
Sylvisorex akaibei,XY
Sylvisorex camerunensis,XY
Sylvisorex corbeti,XY
Sylvisorex granti,XY
Sylvisorex howelli,XY
Sylvisorex isabellae,XY
Sylvisorex johnstoni,XY
Sylvisorex konganensis,XY
Sylvisorex lunaris,XY
Sylvisorex morio,XY
Sylvisorex ollula,XY
Sylvisorex oriundus,XY
Sylvisorex pluvialis,XY
Sylvisorex silvanorum,XY
Sylvisorex vulcanorum,XY
