Family,Species,Sex,Known or assumed karyotype?,Citation,Comments
Soricidae,Crocidura nigricans,XY,Assumed,NA,NA
Soricidae,Crocidura nigripes,XY,Assumed,NA,NA
Soricidae,Crocidura nigrofusca,XY,Assumed,NA,NA
Soricidae,Crocidura nimbae,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura nimbasilvanus,XY,Assumed,NA,NA
Soricidae,Crocidura ninoyi,XY,Assumed,NA,NA
Soricidae,Crocidura niobe,XY,Assumed,NA,NA
Soricidae,Crocidura obscurior,XY,Assumed,NA,NA
Soricidae,Crocidura olivieri,XY,Assumed,NA,NA
Soricidae,Crocidura orientalis,XY,Assumed,NA,NA
Soricidae,Crocidura orii,XY,Assumed,NA,NA
Soricidae,Crocidura pachyura,XY,Assumed,NA,NA
Soricidae,Crocidura palawanensis,XY,Assumed,NA,NA
Soricidae,Crocidura panayensis,XY,Assumed,NA,NA
Soricidae,Crocidura paradoxura,XY,Assumed,NA,NA
Soricidae,Crocidura parvipes,XY,Assumed,NA,NA
Soricidae,Crocidura pasha,XY,Assumed,NA,NA
Soricidae,Crocidura pergrisea,XY,Assumed,NA,NA
Soricidae,Crocidura phaeura,XY,Assumed,NA,NA
Soricidae,Crocidura phanluongi,XY,Assumed,NA,NA
Soricidae,Crocidura phuquocensis,XY,Assumed,NA,NA
Soricidae,Crocidura picea,XY,Assumed,NA,NA
Soricidae,Crocidura pitmani,XY,Assumed,NA,NA
Soricidae,Crocidura planiceps,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura poensis,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura polia,XY,Assumed,NA,NA
Soricidae,Crocidura pullata,XY,Assumed,NA,NA
Soricidae,Crocidura raineyi,XY,Assumed,NA,NA
Soricidae,Crocidura ramona,XY,Assumed,NA,NA
Soricidae,Crocidura rapax,XY,Assumed,NA,NA
Soricidae,Crocidura religiosa,XY,Assumed,NA,NA
Soricidae,Crocidura rhoditis,XY,Assumed,NA,NA
Soricidae,Crocidura roosevelti,XY,Assumed,NA,NA
Soricidae,Crocidura russula,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura sapaensis,XY,Assumed,NA,NA
Soricidae,Crocidura selina,XY,Assumed,NA,NA
Soricidae,Crocidura serezkyensis,XY,Assumed,NA,NA
Soricidae,Crocidura shantungensis,XY,Assumed,NA,NA
Soricidae,Crocidura sibirica,XY,Assumed,NA,NA
Soricidae,Crocidura sicula,XY,Assumed,NA,NA
Soricidae,Crocidura silacea,XY,Assumed,NA,NA
Soricidae,Crocidura smithii,XY,Assumed,NA,NA
Soricidae,Crocidura sokolovi,XY,Assumed,NA,NA
Soricidae,Crocidura somalica,XY,Assumed,NA,NA
Soricidae,Crocidura stenocephala,XY,Assumed,NA,NA
Soricidae,Crocidura suaveolens,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura susiana,XY,Assumed,NA,NA
Soricidae,Crocidura tanakae,XY,Assumed,NA,NA
Soricidae,Crocidura tansaniana,XY,Assumed,NA,NA
Soricidae,Crocidura tarella,XY,Assumed,NA,NA
Soricidae,Crocidura tarfayensis,XY,Assumed,NA,NA
Soricidae,Crocidura telfordi,XY,Assumed,NA,NA
Soricidae,Crocidura tenuis,XY,Assumed,NA,NA
Soricidae,Crocidura thalia,XY,Assumed,NA,NA
Soricidae,Crocidura theresae,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura thomensis,XY,Assumed,NA,NA
Soricidae,Crocidura trichura,XY,Assumed,NA,NA
Soricidae,Crocidura turba,XY,Assumed,NA,NA
Soricidae,Crocidura ultima,XY,Assumed,NA,NA
Soricidae,Crocidura usambarae,XY,Assumed,NA,NA
Soricidae,Crocidura viaria,XY,Assumed,NA,NA
Soricidae,Crocidura virgata,XY,Assumed,NA,NA
Soricidae,Crocidura voi,XY,Assumed,NA,NA
Soricidae,Crocidura vorax,XY,Assumed,NA,NA
Soricidae,Crocidura vosmaeri,XY,Assumed,NA,NA
Soricidae,Crocidura watasei,XY,Assumed,NA,NA
Soricidae,Crocidura whitakeri,XY,Assumed,NA,NA
Soricidae,Crocidura wimmeri,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura wuchihensis,XY,Assumed,NA,NA
Soricidae,Crocidura xantippe,XY,Assumed,NA,NA
Soricidae,Crocidura yankariensis,XY,Assumed,NA,NA
Soricidae,Crocidura zaitsevi,XY,Assumed,NA,NA
Soricidae,Crocidura zaphiri,XY,Assumed,NA,NA
Soricidae,Crocidura zarudnyi,XY,Assumed,NA,NA
Soricidae,Crocidura zimmeri,XY,Assumed,NA,NA
Soricidae,Crocidura zimmermanni,XY,Known,Blackmon et al. (2019),NA
Soricidae,Cryptotis alticola,XY,Assumed,NA,NA
Soricidae,Cryptotis aroensis,XY,Assumed,NA,NA
Soricidae,Cryptotis brachyonyx,XY,Assumed,NA,NA
Soricidae,Cryptotis colombiana,XY,Assumed,NA,NA
Soricidae,Cryptotis endersi,XY,Assumed,NA,NA
Soricidae,Cryptotis equatoris,XY,Assumed,NA,NA
Soricidae,Cryptotis goldmani,XY,Assumed,NA,NA
Soricidae,Cryptotis goodwini,XY,Assumed,NA,NA
Soricidae,Cryptotis gracilis,XY,Assumed,NA,NA
Soricidae,Cryptotis griseoventris,XY,Assumed,NA,NA
Soricidae,Cryptotis hondurensis,XY,Assumed,NA,NA
Soricidae,Cryptotis lacandonensis,XY,Assumed,NA,NA
Soricidae,Cryptotis lacertosus,XY,Assumed,NA,NA
Soricidae,Cryptotis magna,XY,Assumed,NA,NA
Soricidae,Cryptotis mam,XY,Assumed,NA,NA
Soricidae,Cryptotis mayensis,XY,Assumed,NA,NA
Soricidae,Cryptotis medellinia,XY,Assumed,NA,NA
Soricidae,Cryptotis mera,XY,Assumed,NA,NA
Soricidae,Cryptotis meridensis,XY,Assumed,NA,NA
Soricidae,Cryptotis merriami,XY,Assumed,NA,NA
Soricidae,Cryptotis mexicana,XY,Assumed,NA,NA
Soricidae,Cryptotis montivaga,XY,Assumed,NA,NA
Soricidae,Cryptotis nelsoni,XY,Assumed,NA,NA
Soricidae,Cryptotis niausa,XY,Assumed,NA,NA
Soricidae,Cryptotis nigrescens,XY,Assumed,NA,NA
Soricidae,Cryptotis obscura,XY,Assumed,NA,NA
Soricidae,Cryptotis oreoryctes,XY,Assumed,NA,NA
Soricidae,Cryptotis orophila,XY,Assumed,NA,NA
Soricidae,Cryptotis parva,XY,Known,Blackmon et al. (2019),NA
Soricidae,Cryptotis peregrina,XY,Assumed,NA,NA
Soricidae,Cryptotis perijensis,XY,Assumed,NA,NA
Soricidae,Cryptotis peruviensis,XY,Assumed,NA,NA
Soricidae,Cryptotis phillipsii,XY,Assumed,NA,NA
Soricidae,Cryptotis squamipes,XY,Assumed,NA,NA
Soricidae,Cryptotis tamensis,XY,Assumed,NA,NA
Soricidae,Cryptotis thomasi,XY,Assumed,NA,NA
Soricidae,Cryptotis tropicalis,XY,Assumed,NA,NA
Soricidae,Cryptotis venezuelensis,XY,Assumed,NA,NA
Soricidae,Diplomesodon pulchellum,XY,Known,Blackmon et al. (2019),NA
Soricidae,Episoriculus caudatus,XY,Assumed,NA,NA
Soricidae,Episoriculus fumidus,XY,Assumed,NA,NA
Soricidae,Episoriculus leucops,XY,Assumed,NA,NA
Soricidae,Episoriculus macrurus,XY,Assumed,NA,NA
Soricidae,Feroculus feroculus,XY,Assumed,NA,NA
Soricidae,Megasorex gigas,XY,Assumed,NA,NA
Soricidae,Myosorex babaulti,XY,Assumed,NA,NA
Soricidae,Myosorex blarina,XY,Assumed,NA,NA
Soricidae,Myosorex bururiensis,XY,Assumed,NA,NA
Soricidae,Myosorex cafer,XY,Assumed,NA,NA
Soricidae,Myosorex eisentrauti,XY,Assumed,NA,NA
Soricidae,Myosorex geata,XY,Assumed,NA,NA
Soricidae,Myosorex gnoskei,XY,Assumed,NA,NA
Soricidae,Myosorex jejei,XY,Assumed,NA,NA
Soricidae,Myosorex kabogoensis,XY,Assumed,NA,NA
Soricidae,Myosorex kihaulei,XY,Assumed,NA,NA
Soricidae,Myosorex longicaudatus,XY,Assumed,NA,NA
Soricidae,Myosorex meesteri,XY,Assumed,NA,NA
Soricidae,Myosorex okuensis,XY,Assumed,NA,NA
Soricidae,Myosorex rumpii,XY,Assumed,NA,NA
Soricidae,Myosorex schalleri,XY,Assumed,NA,NA
Soricidae,Myosorex sclateri,XY,Assumed,NA,NA
Soricidae,Myosorex tenuis,XY,Assumed,NA,NA
Soricidae,Myosorex varius,XY,Assumed,NA,NA
Soricidae,Myosorex zinki,XY,Assumed,NA,NA
Soricidae,Nectogale elegans,XY,Assumed,NA,NA
Soricidae,Neomys anomalus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Neomys fodiens,XY,Known,Blackmon et al. (2019),NA
Soricidae,Neomys teres,XY,Assumed,NA,NA
Soricidae,Notiosorex cockrumi,XY,Assumed,NA,NA
Soricidae,Notiosorex crawfordi,XY,Assumed,NA,NA
Soricidae,Notiosorex evotis,XY,Assumed,NA,NA
Soricidae,Notiosorex villai,XY,Assumed,NA,NA
Soricidae,Paracrocidura graueri,XY,Assumed,NA,NA
Soricidae,Paracrocidura maxima,XY,Assumed,NA,NA
Soricidae,Paracrocidura schoutedeni,XY,Assumed,NA,NA
Soricidae,Ruwenzorisorex suncoides,XY,Assumed,NA,NA
Soricidae,Scutisorex somereni,XY,Assumed,NA,NA
Soricidae,Scutisorex thori,XY,Assumed,NA,NA
Soricidae,Solisorex pearsoni,XY,Assumed,NA,NA
Soricidae,Sorex alaskanus,XY,Assumed,NA,NA
Soricidae,Sorex alpinus,XY,Assumed,NA,NA
Soricidae,Sorex antinorii,XAfusion,Known,Bulatova et al. (2019),NA
Soricidae,Sorex araneus,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex arcticus,XAfusion,Known,Bulatova et al. (2019),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Soricidae,Sorex arizonae,XY,Assumed,NA,NA
Soricidae,Sorex arunchi,XY,Assumed,NA,NA
Soricidae,Sorex asper,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex bairdi,XY,Assumed,NA,NA
Soricidae,Sorex bedfordiae,XY,Assumed,NA,NA
Soricidae,Sorex bendirii,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex buchariensis,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex caecutiens,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex camtschatica,XY,Assumed,NA,NA
Soricidae,Sorex cansulus,XY,Assumed,NA,NA
Soricidae,Sorex cinereus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex coronatus,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex cylindricauda,XY,Assumed,NA,NA
Soricidae,Sorex daphaenodon,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex dispar,XY,Assumed,NA,NA
Soricidae,Sorex emarginatus,XY,Assumed,NA,NA
Soricidae,Sorex excelsus,XY,Assumed,NA,NA
Soricidae,Sorex fumeus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex gracillimus,XY,Assumed,NA,NA
Soricidae,Sorex granarius,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex haydeni,XY,Assumed,NA,NA
Soricidae,Sorex hosonoi,XY,Assumed,NA,NA
