"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","AssessedStatus2","SourceStatus2","ThreatStatus","ImputedThreatStatus","AbsoluteLatitude","RangeSize","RangeSize_km2","Longitude","Latitude","Insularity","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","PropGrazingArea","PropAnthroHyde","DietInv","DietVend","DietVect","DietVfish","DietVunk","DietScav","DietFruit","DietNect","DietSeed","DietPlant","SourceDiet","DietBreadth","MaxLongevity","SourceLongevity","LitterSize","LitterSize_Metric","SourceLitterSize","DirectDev","LarvalStage","Viviparity","SourceDirectDev","SourceLarvalStage","BiomeNum_1","BiomeNum_2","BiomeNum_3","BiomeNum_4","BiomeNum_5","BiomeNum_6","BiomeNum_7","BiomeNum_8","BiomeNum_9","BiomeNum_10","BiomeNum_11","BiomeNum_12","BiomeNum_13","BiomeNum_14","PopulationTrend","Threat_1","Threat_2","Threat_3","Threat_4","Threat_5","Threat_6","Threat_7","Threat_8","Threat_9","Threat_10","Threat_11","Threat_12","ThreatSum","perc.acro","haploid","auto.hap"
"Lophostoma brasiliense",0,"XYknown","Lophostoma brasiliense","Lophostoma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1866",1866,"Mammals",0,61,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",9.76,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lophostoma brasiliense","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.061316364,797,8128018.323,-63.1030343,-2.061316364,0,"This work",0,0,0,0,1,0,0,0,246.096284,2132.499489,717.2887091,54.14623235,343.4937527,1493.934631,18.93017473,0.001651433,0.028771126,0.042833364,0.036186799,0.092443263,0.073255923,1,0,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.73902133,0.112923463,0.006273526,0,0,0,0.071518193,0,0,0.021329987,0,0,0.026348808,0.012547051,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,14
"Lophostoma schulzi",0,"XYknown","Lophostoma schulzi","Lophostoma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GENOWAYS & WILLIAMS 1980",1980,"Mammals",0,73,"",1,"Phylogenetic Multiple Imputation",18.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lophostoma schulzi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.710444069,65,564364.217,-55.59263111,2.710444069,0,"This work",0,0,0,0,1,0,0,0,253.3201221,2281.906616,788.4327101,51.46140418,198.4927388,2111.008417,2.900906023,0.000248682,0.003730783,0.000964437,0.003342466,0.005547364,0.004943902,1,0,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.907692308,0,0,0,0,0,0.030769231,0,0,0,0,0,0,0.030769231,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0.64285714,14,13
"Lophostoma silvicola",0,"XYknown","Lophostoma silvicola","Lophostoma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","D'ORBIGNY 1836",1836,"Mammals",0,89,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",32.29,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lophostoma silvicolum","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,3.003642507,760,7716400.084,-62.94471362,-3.003642507,0,"This work",0,0,0,0,1,0,0,0,248.5061049,2204.402631,740.6050716,51.67193028,276.825405,1525.688656,17.91538685,0.001447814,0.027431474,0.043808479,0.032400219,0.095290207,0.072687767,1,0,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.99","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.738157895,0.119736842,0.003947368,0,0,0,0.096052632,0,0.003947368,0.006578947,0,0,0.014473684,0.009210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11764706,17,16
"Macrotus californicus",0,"XYknown","Macrotus californicus","Macrotus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","BAIRD 1858",1858,"Mammals",0,67,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",22,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Macrotus californicus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,30.63828212,92,642862.842,-112.0962546,30.63828212,0,"This work",0,0,0,0.902173913,0.097826087,0,0,0,204.7051829,330.7871627,6142.70531,77.09671682,687.6484591,298.0695759,26.4225724,0.004497298,0.056323319,0.00417722,0.232419787,0.293188501,0.064997837,1,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,17,"Wilkinson and Adams, 2019, Biol. Lett., 15:20180860","1","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0,0.141304348,0.076086957,0,0.043478261,0,0,0,0,0,0,0.054347826,0.663043478,0.02173913,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0.421052632,20,19
"Macrotus waterhousii",0,"XYknown","Macrotus waterhousii","Macrotus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1843",1843,"Mammals",0,67,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",16.27,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Macrotus waterhousii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,19.57636023,129,802642.0112,-100.3114069,19.57636023,0,"This work",0,0,0,0.131782946,0.868217054,0,0,0,217.0911562,1211.227141,1911.649754,85.29840982,918.7489604,229.0257405,146.212342,0.010314424,0.129164838,0.127751886,0.005733646,0.155267636,0.267231148,1,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,10.41666667,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","1.49","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.224806202,0.465116279,0.201550388,0,0,0,0,0,0,0,0,0,0.054263566,0.054263566,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636363636,23,22
"Mesophylla macconnelli",1,"XAYAfusion","Mesophylla macconnelli","Mesophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1901",1901,"Mammals",0,52,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",6.92,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Mesophylla macconnelli","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,3.296195937,810,8815937.881,-64.04232169,-3.296195937,0,"This work",0,0,0,0,1,0,0,0,243.8311872,2229.685931,666.2672735,52.52245419,366.6083538,1515.117841,15.70715164,0.001134265,0.031330103,0.040687558,0.050506348,0.114995942,0.073151926,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.99","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.77654321,0.041975309,0,0,0,0,0.113580247,0,0.011111111,0.012345679,0,0,0.028395062,0.00617284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,10
"Micronycteris hirsuta",0,"XYknown","Micronycteris hirsuta","Micronycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1869",1869,"Mammals",0,66,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",12.89,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Micronycteris hirsuta","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,0.129354112,645,6514886.007,-67.26133945,0.129354112,0,"This work",0,0,0,0,0.996899225,0,0,0,245.3495707,2321.895041,627.6681106,47.38217211,306.0615274,1643.439659,23.40258923,0.00166156,0.025872847,0.054440186,0.036090966,0.107094833,0.081974594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","0.99","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.818604651,0.051162791,0.00620155,0,0,0,0.068217054,0,0,0,0,0,0.029457364,0.010852713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86666667,15,14
"Micronycteris megalotis",0,"XYknown","Micronycteris megalotis","Micronycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1842",1842,"Mammals",0,51,"",1,"Phylogenetic Multiple Imputation",6.4,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Micronycteris megalotis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,6.152353398,1087,12093444.55,-59.12158375,-6.152353398,0,"This work",0,0,0,0,1,0,0,0,242.9307438,1923.408908,895.1026076,59.8852198,425.8014875,1172.926919,24.9202313,0.002317189,0.053255631,0.058449032,0.075368978,0.162143167,0.114021851,1,0,0,0,0,0,1,0,0,0,"Oliveira and Marquis, 2002. The Cerrados of Brazil: Ecology and Natural History of a Neotropical Savanna, Columbia University Press, 424 p.",2,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.618215271,0.123275069,0,0,0,0,0.190432383,0,0.009199632,0.019319227,0,0,0.02023919,0.010119595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210526316,20,19
"Micronycteris minuta",0,"XYknown","Micronycteris minuta","Micronycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GERVAIS 1856",1856,"Mammals",0,55,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",6.9,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Micronycteris minuta","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,6.042118352,1104,12110198.68,-58.77317043,-6.042118352,0,"This work",0,0,0,0,1,0,0,0,245.2891228,1976.76808,894.1151685,58.12658176,363.4384378,1150.855581,25.74039897,0.002476381,0.063305802,0.059508992,0.076785605,0.163684235,0.125291176,1,0,0,0,0,0,1,0,0,0,"Oliveira and Marquis, 2002. The Cerrados of Brazil: Ecology and Natural History of a Neotropical Savanna, Columbia University Press, 424 p.",2,NA,"","0.99","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.666666667,0.110507246,0.003623188,0,0,0,0.179347826,0,0.007246377,0.002717391,0,0,0.013586957,0.009963768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076923077,14,13
"Micronycteris schmidtorum",0,"XYknown","Micronycteris schmidtorum","Micronycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SANBORN 1935",1935,"Mammals",0,54,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",7.73,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Micronycteris schmidtorum","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.431551034,678,6521819.072,-60.84483463,-2.431551034,0,"This work",0,0,0,0,1,0,0,0,249.0280993,2162.538157,734.0185645,53.25763735,273.307599,1477.570524,34.24652576,0.002771677,0.03767396,0.063868195,0.029986325,0.109198613,0.104313832,1,0,0,0,0,0,0,0,0,0,"Casotti, Mancina, and Braun, 2006, Zoology, 109:196-207",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.761061947,0.132743363,0.014749263,0,0,0,0.053097345,0,0,0.002949853,0,0,0.013274336,0.013274336,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15789474,19,18
"Mimon bennettii",0,"XYknown","Mimon bennettii","Mimon","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1838",1838,"Mammals",0,75,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25.2,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Mimon bennettii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.117887686,445,4191822.172,-51.69316355,-7.117887686,0,"This work",0,0,0,0,1,0,0,0,244.3375649,1710.638605,1209.970903,64.70795826,368.1130557,770.499785,48.37431485,0.005313601,0.115789102,0.09319318,0.11746444,0.240345559,0.214295883,1,0,1,1,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",4,NA,"","1","UniqueValue","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.516853933,0.164044944,0,0,0,0,0.251685393,0,0.008988764,0,0,0,0.02247191,0.024719101,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,15,14
"Gardnerycteris crenulata",0,"XYknown","Gardnerycteris crenulata","Mimon","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","(É. GEOFFROY, 1810)",1810,"Mammals",0,75,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",13.91,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Gardnerycteris crenulatum","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,4.263645176,1032,11135055.63,-59.88925948,-4.263645176,0,"This work",0,0,0,0,1,0,0,0,246.0097517,2012.391623,777.4983552,58.39366171,370.9763018,1236.370097,21.48281059,0.001857175,0.047093613,0.056404191,0.065636882,0.146957554,0.105354978,1,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,20,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","0.995","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.67248062,0.111434109,0.002906977,0,0,0,0.166666667,0,0,0.004844961,0,0,0.021317829,0.010658915,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,15
"Phylloderma stenops",0,"XYknown","Phylloderma stenops","Phylloderma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1865",1865,"Mammals",0,115,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",55.82,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Phylloderma stenops","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,5.003628759,1022,10971031.69,-59.21037453,-5.003628759,0,"This work",0,0,0,0,1,0,0,0,244.1895674,2007.817754,840.5702391,56.9742727,377.4734749,1236.309443,27.93721296,0.002574072,0.045023402,0.061992035,0.052653956,0.139342476,0.109589509,0,0,0,0,0,0,1,0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.698630137,0.119373777,0.007827789,0,0,0,0.130136986,0,0,0.006849315,0,0,0.018590998,0.010763209,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,16,15
"Phyllonycteris aphylla",0,"XYknown","Phyllonycteris aphylla","Phyllonycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1898",1898,"Mammals",0,70,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",24.5,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Phyllonycteris aphylla","CR","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","CR","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","CR",0,18.11206219,2,215.1859728,-76.96028476,18.11206219,1,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,247.7822319,1968.433206,989.9278917,41.08883001,89.82411506,150.455043,369.3761396,0.007164431,0.020328219,0.025054227,0,0.025054227,0.052546876,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","0.99","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,16,15
